id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
16	0	206	432	434	2	0	228	226	226
22	0	255	513	560	14	2	305	289	258
4	0	21	694	717	23	0	696	673	673
9	0	71	184	920	200	12	849	637	113
25	0	315	649	981	28	3	666	635	334
13	0	134	930	1283	66	4	1149	1079	796
17	0	217	296	1298	84	3	1081	994	79
19	0	230	490	1465	56	6	1235	1173	260
8	0	69	123	1559	100	5	1490	1385	54
1	0	0	10	2204	145	4	2204	2055	10
5	0	34	444	2239	99	12	2205	2094	410
15	0	183	1621	2373	68	5	2190	2117	1438
14	0	181	1959	2390	72	13	2209	2124	1778
2	0	9	1511	2461	122	14	2452	2316	1502
7	0	49	760	2474	48	4	2425	2373	711
3	0	14	1083	2547	50	13	2533	2470	1069
23	0	291	2579	2602	23	0	2311	2288	2288
18	0	221	2557	2718	43	3	2497	2451	2336
12	0	122	536	2909	94	5	2787	2688	414
10	0	83	816	2970	107	8	2887	2772	733
6	0	41	112	3036	86	7	2995	2902	71
11	0	114	894	3050	207	23	2936	2706	780
21	0	253	3060	3144	34	1	2891	2856	2807
24	0	303	389	3159	81	8	2856	2767	86
20	0	233	347	3190	38	4	2957	2915	114
0	0	0	0	3190	-10	0	3190	3200	0
