id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
20	0	167	732	754	22	0	587	565	565
3	0	15	285	931	28	1	916	887	270
4	0	28	308	942	25	3	914	886	280
5	0	46	342	956	26	1	910	883	296
7	0	63	412	1015	46	2	952	904	349
14	0	91	588	1161	26	4	1070	1040	497
18	0	134	688	1257	40	1	1123	1082	554
19	0	151	721	1269	3	2	1118	1113	570
12	0	86	552	1554	37	6	1468	1425	466
13	0	89	574	1567	27	2	1478	1449	485
15	0	113	623	1581	37	3	1468	1428	510
23	0	189	803	1683	52	5	1494	1437	614
9	0	69	457	1863	76	3	1794	1715	388
11	0	79	515	1889	52	4	1810	1754	436
16	0	119	653	2180	58	6	2061	1997	534
17	0	124	677	2196	43	7	2072	2022	553
21	0	183	764	2407	35	7	2224	2182	581
6	0	48	374	2517	91	10	2469	2368	326
1	0	0	10	2531	112	13	2531	2406	10
24	0	192	830	2886	81	12	2694	2601	638
25	0	201	855	2908	172	15	2707	2520	654
8	0	66	445	3031	95	17	2965	2853	379
2	0	10	54	3312	371	23	3302	2908	44
10	0	76	488	3601	279	30	3525	3216	412
22	0	184	775	3759	297	39	3575	3239	591
0	0	0	0	3759	-32	0	3759	3791	0
