id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	11	1	0	11	10	10
3	0	27	63	350	111	4	323	208	36
2	0	15	25	646	229	14	631	388	10
26	0	474	517	657	56	2	183	125	43
12	0	178	372	844	141	8	666	517	194
15	0	243	681	858	66	3	615	546	438
27	0	524	881	896	15	0	372	357	357
14	0	230	937	959	22	0	729	707	707
8	0	126	926	1036	20	2	910	888	800
7	0	76	868	1054	49	4	978	925	792
24	0	451	1064	1120	22	1	669	646	613
5	0	59	1084	1139	23	1	1080	1056	1025
20	0	293	1149	1250	37	2	957	918	856
6	0	68	1169	1268	32	4	1200	1164	1101
19	0	268	1278	1324	13	2	1056	1041	1010
4	0	37	1371	1544	42	1	1507	1464	1334
9	0	128	1334	1618	81	5	1490	1404	1206
18	0	264	1300	1630	66	8	1366	1292	1036
30	0	574	1640	1659	19	0	1085	1066	1066
13	0	196	1669	1708	2	1	1512	1509	1473
23	0	398	1680	1758	33	2	1360	1325	1282
10	0	134	1792	1819	27	0	1685	1658	1658
25	0	464	1781	1840	12	5	1376	1359	1317
21	0	313	1718	1867	34	5	1554	1515	1405
17	0	261	1877	1903	26	0	1642	1616	1616
16	0	253	1913	1993	42	1	1740	1697	1660
22	0	383	2017	2073	13	1	1690	1676	1634
11	0	135	1936	2113	35	2	1978	1941	1801
29	0	568	2028	2368	130	7	1800	1663	1460
28	0	538	2153	2380	67	5	1842	1770	1615
0	0	0	0	2380	-16	0	2380	2396	0
