id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	0	87	122	134	12	0	47	35	35
17	0	178	197	208	11	0	30	19	19
6	0	81	209	212	3	0	131	128	128
19	0	201	259	336	30	2	135	103	58
23	0	224	419	463	29	1	239	209	195
39	0	433	550	566	4	4	133	125	117
40	0	434	552	572	9	1	138	128	118
49	0	525	557	613	36	3	88	49	32
12	0	122	614	621	7	0	499	492	492
46	0	485	625	628	3	0	143	140	140
26	0	283	622	637	10	1	354	343	339
50	0	526	662	693	18	2	167	147	136
21	0	215	788	801	13	0	586	573	573
15	0	159	935	936	1	0	777	776	776
9	0	91	952	971	19	0	880	861	861
36	0	410	1018	1035	11	2	625	612	608
48	0	509	576	1081	19	1	572	552	67
45	0	479	531	1150	13	3	671	655	52
34	0	367	406	1229	27	5	862	830	39
43	0	450	539	1299	28	3	849	818	89
3	0	10	19	1301	29	7	1291	1255	9
30	0	311	919	1338	22	2	1027	1003	608
13	0	132	931	1447	44	5	1315	1266	799
20	0	212	263	1471	30	1	1259	1228	51
4	0	37	49	1499	69	12	1462	1381	12
5	0	61	67	1648	29	3	1587	1555	6
14	0	142	882	1696	35	3	1554	1516	740
1	0	0	1	1741	70	6	1741	1665	1
18	0	192	213	1770	29	4	1578	1545	21
37	0	411	464	1826	89	11	1415	1315	53
33	0	366	998	1844	55	6	1478	1417	632
25	0	279	675	1945	90	12	1666	1564	396
47	0	508	668	1969	73	14	1461	1374	160
44	0	469	699	1987	92	21	1518	1405	230
11	0	112	135	2024	80	4	1912	1828	23
42	0	442	638	2154	83	4	1712	1625	196
22	0	219	426	2292	123	14	2073	1936	207
35	0	408	1001	2297	63	5	1889	1821	593
24	0	228	279	2357	98	10	2129	2021	51
41	0	441	746	2399	67	3	1958	1888	305
29	0	309	899	2490	64	9	2181	2108	590
28	0	296	337	2502	50	6	2206	2150	41
16	0	176	972	2551	94	13	2375	2268	796
38	0	419	469	2581	54	3	2162	2105	50
32	0	355	937	2655	88	7	2300	2205	582
10	0	92	140	2660	75	5	2568	2488	48
2	0	3	14	2706	184	23	2703	2496	11
31	0	318	339	2785	192	18	2467	2257	21
7	0	86	802	2810	95	1	2724	2628	716
27	0	295	779	2823	121	13	2528	2394	484
0	0	0	0	2823	-1	0	2823	2824	0
