id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	79	48	1	79	30	10
2	0	33	89	90	1	0	57	56	56
6	0	108	249	251	2	0	143	141	141
8	0	121	300	345	45	0	224	179	179
5	0	62	193	720	65	2	658	591	131
17	0	302	758	779	21	0	477	456	456
19	0	332	818	832	14	0	500	486	486
22	0	373	892	905	13	0	532	519	519
27	0	416	990	1003	13	0	587	574	574
29	0	439	1070	1072	2	0	633	631	631
12	0	195	609	1227	25	2	1032	1005	414
13	0	205	620	1239	23	1	1034	1010	415
15	0	210	678	1282	34	2	1072	1036	468
16	0	266	730	1293	8	3	1027	1016	464
7	0	110	261	1304	31	2	1194	1161	151
18	0	322	789	1320	25	1	998	972	467
24	0	407	926	1410	27	3	1003	973	519
28	0	418	1013	1471	38	1	1053	1014	595
9	0	126	355	1485	76	4	1359	1279	229
3	0	46	100	1523	176	6	1477	1295	54
20	0	359	842	1636	21	5	1277	1251	483
21	0	362	855	1652	50	2	1290	1238	493
26	0	414	968	1720	15	4	1306	1287	554
10	0	173	524	1779	59	4	1606	1543	351
4	0	53	163	1826	75	3	1773	1695	110
23	0	378	915	1867	28	7	1489	1454	537
14	0	208	651	1956	63	6	1748	1679	443
11	0	174	547	2022	68	9	1848	1771	373
25	0	411	937	2034	67	11	1623	1545	526
30	0	468	1082	2053	99	7	1585	1479	614
0	0	0	0	2053	-9	0	2053	2062	0
