id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	22	66	158	92	0	136	44	44
21	0	319	378	525	43	2	206	161	59
29	0	480	557	578	21	0	98	77	77
19	0	278	327	589	43	3	311	265	49
28	0	451	546	624	14	1	173	158	95
1	0	0	10	684	62	3	684	619	10
9	0	99	778	793	15	0	694	679	679
26	0	394	535	877	29	2	483	452	141
23	0	348	708	890	31	8	542	503	360
13	0	159	648	932	30	1	773	742	489
15	0	179	942	948	6	0	769	763	763
12	0	122	220	1017	81	2	895	812	98
4	0	29	168	1164	86	3	1135	1046	139
8	0	95	1122	1177	21	1	1082	1060	1027
20	0	298	694	1398	68	4	1100	1028	396
17	0	264	1308	1414	36	3	1150	1111	1044
11	0	121	900	1462	31	5	1341	1305	779
25	0	392	1424	1479	16	1	1087	1070	1032
6	0	66	1509	1529	20	0	1463	1443	1443
22	0	341	814	1545	32	5	1204	1167	473
18	0	270	1071	1566	29	1	1296	1266	801
24	0	385	1027	1716	52	4	1331	1275	642
27	0	417	732	1805	48	1	1388	1339	315
16	0	180	1726	1857	47	1	1677	1629	1546
14	0	161	390	1872	110	6	1711	1595	229
5	0	58	242	1960	85	5	1902	1812	184
2	0	20	1906	1973	28	1	1953	1924	1886
10	0	102	1983	2109	18	5	2007	1984	1881
7	0	92	2008	2135	43	2	2043	1998	1916
30	0	486	1187	2315	120	16	1829	1693	701
0	0	0	0	2315	-2	0	2315	2317	0
